MSN,YYYYMM,Value,Column_Order,Description,Unit
CLNIBUS,199008,-0.260723,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199009,-0.263408,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199010,-0.222333,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199011,-0.246484,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199012,-0.198034,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199013,-2.704789,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199101,-0.156148,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199102,-0.202106,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199103,-0.202759,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199104,-0.176197,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199105,-0.256165,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199106,-0.235879,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199107,-0.25576,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199108,-0.269843,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199109,-0.266785,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199110,-0.236738,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199111,-0.27019,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199112,-0.240353,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199113,-2.768925,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199201,-0.217906,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199202,-0.197637,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199203,-0.214474,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199204,-0.219442,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199205,-0.239605,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199206,-0.221481,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199207,-0.241352,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199208,-0.194032,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199209,-0.235333,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199210,-0.182952,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199211,-0.218638,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199212,-0.204005,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199213,-2.586857,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199301,-0.163002,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199302,-0.162802,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199303,-0.13492,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199304,-0.127343,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199305,-0.151912,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199306,-0.213097,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199307,-0.155126,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199308,-0.130612,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199309,-0.140445,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199310,-0.142661,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199311,-0.107657,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199312,-0.128364,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199313,-1.757942,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199401,-0.107815,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199402,-0.091399,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199403,-0.136858,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199404,-0.116759,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199405,-0.125294,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199406,-0.186599,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199407,-0.132103,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199408,-0.155393,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199409,-0.167086,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199410,-0.140391,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199411,-0.144466,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199412,-0.152891,1,Coal Net Imports,Quadrillion Btu
CLNIBUS,199413,-1.657055,1,Coal Net Imports,Quadrillion Btu
